news,label,cleaned_news,tokens
"; ""تفصیلات کے مطابق شہر میں جہاں شہری ڈاکوؤں اور چوروں کی لوٹ مار کا شکار ہو رہے ہیں وہیں اب بیٹری چوروں نے بھی شہریوں کی مشکلات میں اضافہ کر دیا ہے۔ گجر پورہ میں ایک ہی جگہ سے اب تک دس گاڑیوں کی بیٹریاں چوری ہو چکی ہیں،  سی سی ٹی وی فوٹیج میں چوروں کو گاڑیوں سے بیٹریاں چوری کرتے دیکھا جا سکتا ہے۔""; ""پولیس نے تاحال کسی ایک بھی واقعہ کا مقدمہ  درج نہیں کیا، پولیس کا کہنا ہے کہ واقعات کی تحقیقات جا ری ہیں۔""",real,تفصیلات مطابق شہر جہاں شہری ڈاکووں چوروں لوٹ مار شکار ہو رہے ہیںوہیں اب بیٹری چوروں نے شہریوں مشکلات اضافہ کر دیاہے گجرپورہ ایک ہی جگہ اب تک دس گاڑیوں بیٹریاں چوری ہو چکی ہیںسی سی ٹی وی فوٹیج چوروں کوگاڑیوں بیٹریاں چوری کرتے دیکھا جا سکتاہے پولیس نے تاحال کسی ایک واقعہ مق,"['تفصیلات', 'مطابق', 'شہر', 'جہاں', 'شہری', 'ڈاکووں', 'چوروں', 'لوٹ', 'مار', 'شکار', 'ہو', 'رہے', 'ہیںوہیں', 'اب', 'بیٹری', 'چوروں', 'نے', 'شہریوں', 'مشکلات', 'اضافہ', 'کر', 'دیاہے', 'گجرپورہ', 'ایک', 'ہی', 'جگہ', 'اب', 'تک', 'دس', 'گاڑیوں', 'بیٹریاں', 'چوری', 'ہو', 'چکی', 'ہیںسی', 'سی', 'ٹی', 'وی', 'فوٹیج', 'چوروں', 'کوگاڑیوں', 'بیٹریاں', 'چوری', 'کرتے', 'دیکھا', 'جا', 'سکتاہے', 'پولیس', 'نے', 'تاحال', 'کسی', 'ایک', 'واقعہ', 'مق']"
کالعدم تنظیم تحریک طالبان پاکستان اندرونی اختلافات کی وجہ سے دھڑے بندی کا شکار ہو گئی تھی لیکن اب ایک مرتبہ پھر یہ تنظیم یکجا ہونے جا رہی ہے اور پیر کو باقاعدہ طور پر جماعت الاحرار اور حزب الاحرار نے تحریک میں ضم ہونے کا اعلان کر دیا ہے۔,real,کالعدم تنظیم تحریک طالبان پاکستان اندرونی اختلافات وجہ دھڑے بندی شکار ہو گئی لیکن اب ایک مرتبہ پھر تنظیم یکجا ہونے جا رہی پیر باقاعدہ طور جماعت الاحرار حزب الاحرار نے تحریک ضم ہونے اعلان کر دیا,"['کالعدم', 'تنظیم', 'تحریک', 'طالبان', 'پاکستان', 'اندرونی', 'اختلافات', 'وجہ', 'دھڑے', 'بندی', 'شکار', 'ہو', 'گئی', 'لیکن', 'اب', 'ایک', 'مرتبہ', 'پھر', 'تنظیم', 'یکجا', 'ہونے', 'جا', 'رہی', 'پیر', 'باقاعدہ', 'طور', 'جماعت', 'الاحرار', 'حزب', 'الاحرار', 'نے', 'تحریک', 'ضم', 'ہونے', 'اعلان', 'کر', 'دیا']"
ٹرمپ اپنے وعدے پورے نہیں کررہے ہیں۔ جہاں تک ان کے حامیوں کا تعلق ہے ، اس نے ٹھیک شروع کیا ، لیکن پچھلے چند ہفتوں میں اس نے پلٹ فلاپ کی ایک شاندار صف تیار کی ، اور لوگ بظاہر اس سے خوش نہیں ہیں۔,fake,ٹرمپ اپنے وعدے پورے نہیں کر رہے ہیںجہاں تک ان حامیوں تعلقہےاس نے ٹھیک شروع کیا لیکن پچھلے چند ہفتوں اس نے پلٹ فلاپ ایک شاندار صف تیارکی لوگ بظاہر اس خوش نہیں ہیں,"['ٹرمپ', 'اپنے', 'وعدے', 'پورے', 'نہیں', 'کر', 'رہے', 'ہیںجہاں', 'تک', 'ان', 'حامیوں', 'تعلقہےاس', 'نے', 'ٹھیک', 'شروع', 'کیا', 'لیکن', 'پچھلے', 'چند', 'ہفتوں', 'اس', 'نے', 'پلٹ', 'فلاپ', 'ایک', 'شاندار', 'صف', 'تیارکی', 'لوگ', 'بظاہر', 'اس', 'خوش', 'نہیں', 'ہیں']"
ایمیزون کی اسی دن کی ترسیل کی خدمت کے مقامات کا بلومبرگ تجزیہ ظاہر کرتا ہے کہ سیاہ محلوں کو معمول کے مطابق خدمت تک رسائی سے خارج کردیا جاتا ہے۔ اگرچہ تمام گراہک ایمیزون پرائم ممبرشپ کے ل for یکساں $ 99 فیس ادا کرتے ہیں ، جس میں احاطہ شدہ علاقوں میں یکساں ڈیلیوری سروس بھی شامل ہے ، بلیک برگ کے مطالعے کے مطابق ، کالے گاہک جو اٹلانٹا ، شکاگو ، ڈلاس اور واشنگٹن ڈی سی میں رہتے ہیں ، اسی دن کی ترسیل کا امکان 50 فیصد کم ہے۔ بلومبرگ مزید رپورٹس: نیو یارک شہر میں ، یومیہ کی ترسیل مین ہیٹن ، اسٹیٹن آئلینڈ اور بروکلین میں دستیاب ہے ، لیکن کوئینس کے برونکس اور کچھ اکثریت والے سیاہ محلوں میں نہیں۔ کچھ شہروں میں ، ایمیزون ایک ہی دن کی ترسیل آس پاس کے مضافاتی علاقوں میں کئی میل تک پھیلی ہوئی ہے لیکن شہر کی حدود میں کچھ زپ کوڈز میں دستیاب نہیں ہے۔ ان تمام جگہوں پر جہاں ایمیزون پرائم ممبروں کے لئے ایمیزون ڈے ڈیلیوری خدمات دستیاب ہیں ، تجزیہ بوسٹن شہر میں سب سے زیادہ تفاوت ظاہر کرتا ہے۔ بلومبرگ تجزیے کے مطابق: روکسبری کے بنیادی طور پر سیاہ محلے پر مشتمل تین زپ کوڈز کو اسی دن کی خدمت سے خارج کردیا گیا ہے ، جبکہ اس کے چاروں طرف سے محلے والے اس کے اہل ہیں۔ بہت سے معاملات میں اس کا مطلب یہ ہے کہ سیاہ فام صارفین کو ایک ہی دن کی ترسیل تک رسائی حاصل نہیں ہے ، جب کہ سفید فام صارفین ، جو صرف کچھ بلاکس کے فاصلے پر رہتے ہیں ، ان تک رسائی حاصل ہے۔ یہاں کچھ تر آبادی والے شہری علاقوں میں ڈیلیوری زون کی طرح دکھائی دیتے ہیں۔ کریڈٹ: اسکرین پر گرفت برمن کا کہنا ہے کہ سروس کے علاقوں کا تعین اعداد و شمار اور الگورتھم کے ذریعہ کیا گیا تھا۔ یہاں ٹیک انسائڈر کی رپورٹوں کے مطابق ، ایمیزون کے پی آر کے ڈائریکٹر سکاٹ اسٹینزیل نے الگورتھم بنانے کے لئے کمپنی کے معیار کو بیان کیا۔ اسٹینزیل کے مطابق ، جس میں قریب تر تکمیل مرکز تک فاصلہ بھی شامل تھا ، مقامی طلب میں ایک علاقہ ، کسی علاقے میں اعظم ممبروں کی تعداد ، اور ساتھ ہی ہمارے مختلف کیریئر پارٹنرز کی اہلیت ہر اتوار ، یہاں تک کہ ہر دن رات 9 بجے تک فراہم کر سکتی ہے۔ تو ، ایسا کمپیوٹر پروگرام جس میں ریس کو عنصر کے طور پر شامل نہیں کیا جاتا ہے ، ایسا کوئی ایسا علاقہ کیسے تیار کیا جاسکتا ہے جس میں سیاہ محلوں کو شامل نہ کیا جاسکے؟ اقلیتی طبقات کی یہ چھوٹے اور بڑے اثرات کا مجموعی ہے جو لوگوں کے لئے رہائش تلاش کرنے ، دولت جمع کرنے ، فوجداری انصاف کے نظام سے بچنے اور اگر وہ سفید فام نہیں ہیں تو اسکول میں کامیابی حاصل کرنا مشکل بنا دیتے ہیں۔ نسل پرستی سے دانستہ طور پر لاعلمی میں منتخب کردہ ڈیٹا اور الگورتھم اس نظامی مسئلے کو اٹھا سکتے ہیں اور تقویت بخش سکتے ہیں۔ لہذا بنیادی طور پر الگورتھم نسل پرستی کی عکاسی کرتا ہے جو خدمت کے علاقے میں پہلے سے موجود ہے۔ جیسا کہ ٹیک اندرونی نے بیان کیا ہے ، اس سے معاشی عدم مساوات اور سفید فام اور سیاہ فام برادریوں کے مابین علیحدگی کی عکاسی ہوتی ہے جو عشروں کی وجہ سے کم ہوتی ہے۔ ایسا ہی معلوم ہوتا ہے کہ ایمیزون کی ایک ہی دن کی ترسیل کی خدمت کے علاقے کی کوریج کے معاملے میں ہوا۔ امازون کا کہنا ہے کہ کمپنی کے پاس خدمت کے احاطہ میں پائے جانے والے خلا کو وقت کے ساتھ پُر کرنے کا ارادہ ہے۔ جب یہ اعداد و شمار سے پتہ چلتا ہے کہ بہت سے سیاہ فام صارفین کو کمپنی کے موجودہ ماڈل کے تحت مساوی خدمات سے انکار کیا جارہا ہے تو غلطیاں ہوسکتی ہیں ، ہاں ، لیکن اب جب یہ مسائل واضح طور پر سامنے آچکے ہیں ، تو ایمیزون کو فوری طور پر فوری اقدامات اٹھانا چاہئے۔ انہیں درست کرو۔ نادانستہ طور پر ایک الگورتھم تیار کرنا ایک چیز ہے جو سیاہ محلوں کو چھوڑ دیتا ہے۔ ایک بار جب آپ مسئلے سے آگاہ ہوجائیں تو یہ دوسرا راستہ دیکھنا پوری طرح ایک اور چیز ہے,fake,ایمیزون اسی دن ترسیل خدمت مقامات بلوم برگ تجزیہ ظاہر کرتا کہ سیاہ محلوں معمول مطابق خدمت تک رسائی خارج کر دیا جاتا اگرچہ تمام گراہک ایمیزون پرائم ممبر شپ لfor یکساں $99 فیس ادا کرتے ہیںجس احاطہ شدہ علاقوں یکساں ڈیلیوری سروس شامل ہےبلیک برگ مطالعے مطابق کالے گاہک جواٹلانٹ,"['ایمیزون', 'اسی', 'دن', 'ترسیل', 'خدمت', 'مقامات', 'بلوم', 'برگ', 'تجزیہ', 'ظاہر', 'کرتا', 'کہ', 'سیاہ', 'محلوں', 'معمول', 'مطابق', 'خدمت', 'تک', 'رسائی', 'خارج', 'کر', 'دیا', 'جاتا', 'اگرچہ', 'تمام', 'گراہک', 'ایمیزون', 'پرائم', 'ممبر', 'شپ', 'لfor', 'یکساں', '$99', 'فیس', 'ادا', 'کرتے', 'ہیںجس', 'احاطہ', 'شدہ', 'علاقوں', 'یکساں', 'ڈیلیوری', 'سروس', 'شامل', 'ہےبلیک', 'برگ', 'مطالعے', 'مطابق', 'کالے', 'گاہک', 'جواٹلانٹ']"
نامکمل کاروبار سے نمٹنے کے لئے اوباما کی کوششوں کے ساتھ ، یہ گذشتہ سال امریکہ کے لئے سب سے زیادہ تباہ کن سال ثابت ہوسکتا ہے۔ گن کنٹرول کو بند کرنا اور بہت ساری دوسری چیزیں جو ہمارے لئے اوباما کے پاس تھیں۔ جبکہ کانگریس بالکل کچھ نہیں کرتی! براہ کرم اسے یاد رکھیں اور اسی کے مطابق ووٹ دیں! صدر براک اوباما دو ہفتوں کی تفریح ​​اور دھوپ کے بعد اپنے آبائی ہوائی میں یہ کہتے ہوئے ملک کے دارالحکومت کی سرپرستی میں واپس آ رہے ہیں ، ان کا کہنا تھا کہ انہوں نے اپنے آخری سال کے لئے عہدے سے برطرف کردیا اور تیار ہیں نامکمل کاروبار سے نمٹنا۔ اوبامہ کی ترجیحی فہرست میں سب سے اوپر ایگزیکٹو ایکشن ہے جس میں توسیع کی توقع کی جاتی ہے جب بندوق کی خریداری کے لئے پس منظر کی جانچ پڑتال کی ضرورت ہوتی ہے۔ اوباما پیر کے روز اٹارنی جنرل لورٹیٹا لنچ سے ملاقات کر رہے ہیں اور اس پر تین ماہ کے جائزے پر تبادلہ خیال کریں گے کہ وہ بندوقوں کے تشدد کو کم کرنے کے لئے کیا اقدامات کرسکتے ہیں۔ ریپبلکن کی طرف سے سخت مخالفت کی جانے والی اور قانونی لڑائی شروع کرنے کے امکانات ، اوباما کی خواہش پر زور دیتے ہیں 2016 میں جارحانہ ایجنڈا برقرار رکھنے کے لئے ، یہاں تک کہ عوام کی توجہ صدارتی انتخابات کی طرف موڑ دی گئی۔ اوبامہ نے اپنی چھٹیوں کا بیشتر حصہ عوام کی نظروں سے گزارا ، دوستوں کے ساتھ گولف کھیلتا رہا اور اپنے اہل خانہ کے ساتھ اوہاؤ جزیرے پر کھانا کھایا۔ انہوں نے اپنے آخری اسٹیٹ آف یونین ایڈریس پر بھی کام کیا ، جو 12 جنوری کو شیڈول تھے۔ صدر کے لئے صدر کے لئے یہ ایک اعلی سطحی موقع ہے کہ وہ پیرس اور سان میں دہشت گردی کے حملوں کے بعد عوام کو اپنے قومی سلامتی کی ذمہ داری کے بارے میں یقین دلانے کی کوشش کریں۔ برنارڈینو ، کیلیفورنیا۔ مشیروں کا کہنا ہے کہ اوباما سیکیورٹی کے معاملات کو بھی سب سے آگے رکھنے کے لئے دوسرے مواقع تلاش کریں گے کیونکہ وہ امریکیوں کے خدشات کو کم کرنے کی کوشش کرتے ہیں۔ ریپبلکن کے ساتھ اپنے گہرے اختلافات کے باوجود ، اوبامہ نے سنہ 2016 کے لئے دو ایجنڈے کی اشیا کا حوالہ دیا ہے جن میں دو طرفہ تعاون ہے: 11 کے ساتھ آزاد تجارت کا معاہدہ دوسری ممالک نے ٹرانس پیسیفک پارٹنرشپ کہلانے اور مجرمانہ انصاف کے نظام میں بدلاؤ کے باعث عدم تشدد کے مجرموں کے لئے قید کی شرح کو کم کیا جا.۔ وہ اکثر یہ نشاندہی کرتا ہے کہ امریکی دنیا کی آبادی کا 5 فیصد اور اس کے 25 فیصد قیدیوں کا حصہ ہے۔,fake,نامکمل کاروبار نمٹنے لئے اوباما کوششوں ساتھ گذشتہ سال امریکہ لئے سب زیادہ تباہ کن سال ثابت ہو سکتاہے گن کنٹرول بند کرنا بہت ساری دوسری چیزیں جو ہمارے لئے اوباما پاس تھیںجبکہ کانگریس بالکل کچھ نہیں کرتی براہ کرماسے یاد رکھیں اسی مطابق ووٹ دیں صدر براک اوباما دو ہفتوں تفریح دھوپ,"['نامکمل', 'کاروبار', 'نمٹنے', 'لئے', 'اوباما', 'کوششوں', 'ساتھ', 'گذشتہ', 'سال', 'امریکہ', 'لئے', 'سب', 'زیادہ', 'تباہ', 'کن', 'سال', 'ثابت', 'ہو', 'سکتاہے', 'گن', 'کنٹرول', 'بند', 'کرنا', 'بہت', 'ساری', 'دوسری', 'چیزیں', 'جو', 'ہمارے', 'لئے', 'اوباما', 'پاس', 'تھیںجبکہ', 'کانگریس', 'بالکل', 'کچھ', 'نہیں', 'کرتی', 'براہ', 'کرماسے', 'یاد', 'رکھیں', 'اسی', 'مطابق', 'ووٹ', 'دیں', 'صدر', 'براک', 'اوباما', 'دو', 'ہفتوں', 'تفریح', 'دھوپ']"
ٹیکساس 15 جولائی (ایجنسی) ماہرین نے انکشاف کیا ہے کہ آم کو جسمانی موٹاپے میں کمی کرنے والا بہترین پھل قرار دیا گیا ہے ٹیکساس یونیورسٹی کے ماہرین نے اس تحقیق سے اخذ کیا گیا کہ آم سے وزن میں کمی واقع ہو سکتی ہے چونکہ آم میں کئی طرح کے وٹامن اینٹی آکسیڈنٹس پولی فینولز اور فائبر پائے جاتے ہیں اس سے نظامِ ہاضمہ بہتر ہونے کے ساتھ ساتھ  غذا کو فوری طور پر جزوِبدن ہو جاتی ہے جو کہ جسمانی موٹاپے میں کمی کا باعث بنتی ہیں ٹیکساس اے اینڈ ایم یونیورسٹی کے ماہرین نے اس کا عملی مظاہرہ کیا ہے انہوں نے 58 خواتین و حضرات کو 2 گروہوں میں تقسیم کیا ان میں سے 1 گروہ کو روزانہ 520 گرام آم کھلایا گیا اور دوسرے گروہ کو فائبر کا پاؤڈر دیا گیا جبکہ اس مطالعہ سے یہ نتیجہ اخذ کیا گیا کہ واقعی آم جسمانی موٹاپے میں کمی کرنے والا بہترین پھل ہے اس لیے جو صارفین جسمانی وزن میں کمی چاہتے ہیں ان کو چاہیے کہ وہ عام کا زیادہ سے زیادہ استعمال کریں,fake,ٹیکساس 15 جولائی ایجنسی ماہرین نے انکشاف کیا کہ آم جسمانی موٹاپے کمی کرنے والا بہترین پھل قرار دیا گیا ٹیکساس یونیورسٹی ماہرین نے اس تحقیق اخذ کیا گیا کہ آم وزن کمی واقع ہو سکتیہے چونکہ آم کئی طرح وٹامن اینٹی آکسیڈنٹس پولی فینولز اورفائبر پائے جاتے ہیںاس نظام ہاضمہ بہتر ہونے ساتھ سا,"['ٹیکساس', '15', 'جولائی', 'ایجنسی', 'ماہرین', 'نے', 'انکشاف', 'کیا', 'کہ', 'آم', 'جسمانی', 'موٹاپے', 'کمی', 'کرنے', 'والا', 'بہترین', 'پھل', 'قرار', 'دیا', 'گیا', 'ٹیکساس', 'یونیورسٹی', 'ماہرین', 'نے', 'اس', 'تحقیق', 'اخذ', 'کیا', 'گیا', 'کہ', 'آم', 'وزن', 'کمی', 'واقع', 'ہو', 'سکتیہے', 'چونکہ', 'آم', 'کئی', 'طرح', 'وٹامن', 'اینٹی', 'آکسیڈنٹس', 'پولی', 'فینولز', 'اورفائبر', 'پائے', 'جاتے', 'ہیںاس', 'نظام', 'ہاضمہ', 'بہتر', 'ہونے', 'ساتھ', 'سا']"
اگر عوام نے احتیاط سے کام نہ لیا تو شاید ہفتے یا دو ہفتے بعد مزید شعبے بند کرنے پڑیں، وزیر برائے منصوبہ بندی اور ترقی,real,اگر عوام نے احتیاط کام نہ لیا شاید ہفتے یا دو ہفتے بعد مزید شعبے بند کرنے پڑیں وزیر برائے منصوبہ بندی ترقی,"['اگر', 'عوام', 'نے', 'احتیاط', 'کام', 'نہ', 'لیا', 'شاید', 'ہفتے', 'یا', 'دو', 'ہفتے', 'بعد', 'مزید', 'شعبے', 'بند', 'کرنے', 'پڑیں', 'وزیر', 'برائے', 'منصوبہ', 'بندی', 'ترقی']"
آکسفورڈ (ویب ڈیسک) جنوبی امریکہ اور جنوب شمالی امریکہ کے میٹھے پانیوں میں عام پائی جانے والی مچھلی ٹیٹرافش اگرچہ اپنے خوبصورت رنگوں کی وجہ سے مشہور ہے لیکن یہ اپنے دل کی ازخود مرمت کرنے کی زبردست صلاحیت رکھتی ہے ماہرین کے مطابق اگر مچھلی کا یہ راز معلوم ہوجائے تو اس سے انسانوں وزن کم کرنے میں مدد مل سکتی ہے اسی پہلو پر آکسفورڈ یونیورسٹی کی پروفیسر میتھلڈا اور ان کے ساتھیوں نے ٹیٹرا فش کا مطالعہ شروع کیا ان کا ہدف مچھلی میں یہ دیکھنا تھا کہ آخر وہ کس طرح چربی پیگھلاتی ہے ماہرین نے 2 اقسام کی ٹیٹرا فش کا جینیاتی جائزہ لیا اور ان میں وزن کم کرنے والے جین کی تلاش شروع کی ماہرین نے نوٹ کیا کہ مچھلی کا وزن زیادہ ہونے کے بعد آئی آر آر سی 10 اور کیوولن جین ذیادہ سرگرم ہوجاتے ہیں ماہرین کا خیال ہے کہ ان میں سے آئی آر آر سی ٹین جین اس عمل میں قدرے اہم کردار ادا کرتا ہے اس سے قبل ماہرین ایک دوسرے تجربے میں سور میں آئی آر سی سی ٹین جین کی سرگرمی نوٹ کرچکے تھے یہ جین معدے کی ایک کیفیت ڈائلیٹڈ کارڈیومیوپیتھی سے وابستہ ہوتا ہے اور اس بیماری میں وزن بڑھ جاتا ہے مزید تحقیق سے معلوم ہوا کہ آئی آر آر سی 10 دل کے خلیات کے سکڑاﺅ اور پھیلاﺅ میں بھی اہم کردار ادا کرتا ہے اب اس تحقیق کو مزید آگے بڑھانے کے لیے ماہرین نے مچھلی گھروں میں رکھی جانے والی ایک آرائشی مچھلی زیبرا فِش کا مطالعہ کیا جس میں بھی اپنا وزن خود کم کرنے کی صلاحیت پائی جاتی ہے سائنسدانوں نے زیبرا فش لی اور اس میں آئی آر آر سی 10 جین کی سرگرمی معطل کردی اور حیرت انگیز طور پر معلوم ہوا کہ اس کے بعد زیبرا فش نقصان پہنچنے والے وزن دوبارہ کم نہیں کرسکی اس خبر سے ماہرین بہت خوش ہیں کیونکہ وہ جان چکے ہیں کہ آئی آر آر سی 10 وزن کم کرنے میں اہم کردار ادا کرتا ہے تاہم اس تحقیق کو انسانوں پر آزمانے کے لیے طویل محنت اور صبرآزما مراحل درکار ہیں لیکن قدرت سے ہمیں ایک بڑی موٹاپے جیسی بیماری کے علاج کی روشنی ضرور ملی ہے اگر یہ عمل کسی طرح انسانوں کے لیے ممکن ہوجائے تو اسے ایک طبی انقلاب کہا جائے گا,fake,آکسفورڈ ویب ڈیسک جنوبی امریکہ جنوب شمالی امریکہ میٹھے پانیوں عام پائی جانے والی مچھلی ٹیٹر افشاگرچہ اپنے خوبصورت رنگوں وجہ مشہور لیکن اپنے دل از خود مرمت کرنے زبردست صلاحیت رکھتی ماہرین مطابق اگر مچھلی راز معلوم ہو جائے اس انسانوں وزن کم کرنے مدد مل سکتیہے اسی پہلو آکس,"['آکسفورڈ', 'ویب', 'ڈیسک', 'جنوبی', 'امریکہ', 'جنوب', 'شمالی', 'امریکہ', 'میٹھے', 'پانیوں', 'عام', 'پائی', 'جانے', 'والی', 'مچھلی', 'ٹیٹر', 'افشاگرچہ', 'اپنے', 'خوبصورت', 'رنگوں', 'وجہ', 'مشہور', 'لیکن', 'اپنے', 'دل', 'از', 'خود', 'مرمت', 'کرنے', 'زبردست', 'صلاحیت', 'رکھتی', 'ماہرین', 'مطابق', 'اگر', 'مچھلی', 'راز', 'معلوم', 'ہو', 'جائے', 'اس', 'انسانوں', 'وزن', 'کم', 'کرنے', 'مدد', 'مل', 'سکتیہے', 'اسی', 'پہلو', 'آکس']"
پاکستان کے چیف جسٹس گلزار احمد نے صحافی مطیع اللہ جان کے مبینہ اغوا کے متعلق درج مقدمے میں اسلام آباد پولیس کی جانب سے اب تک کی جانے والی تفتیش پر عدم اطمینان کا اظہار کرتے ہوئے کہا ہے کہ پولیس اس مقدمے میں خط و کتابت سے آگے نہیں بڑھی ہے۔,real,پاکستان چیف جسٹس گلزار احمد نے صحافی مطیع اللہ جان مبینہ اغوا متعلق درج مقدمے اسلام آباد پولیس جانب اب تک جانے والی تفتیش عدم اطمینان اظہار کرتے ہوئے کہا کہ پولیس اس مقدمے خط و کتابت آگے نہیں بڑھی,"['پاکستان', 'چیف', 'جسٹس', 'گلزار', 'احمد', 'نے', 'صحافی', 'مطیع', 'اللہ', 'جان', 'مبینہ', 'اغوا', 'متعلق', 'درج', 'مقدمے', 'اسلام', 'آباد', 'پولیس', 'جانب', 'اب', 'تک', 'جانے', 'والی', 'تفتیش', 'عدم', 'اطمینان', 'اظہار', 'کرتے', 'ہوئے', 'کہا', 'کہ', 'پولیس', 'اس', 'مقدمے', 'خط', 'و', 'کتابت', 'آگے', 'نہیں', 'بڑھی']"
ویسٹ انڈیز کے کھلاڑیوں نے پاکستانیوں پر الزام لگایا کہ پاکستانی بھارت سے جان بوجھ کر ہارے تھے تاکہ ویسٹ انڈیز سیمی فائنل میں نہ جا سکے,fake,ویسٹ انڈیز کھلاڑیوں نے پاکستانیوں الزام لگایا کہ پاکستانی بھارت جان بوجھ کر ہارے تھے تاکہ ویسٹ انڈیز سیمی فائنل نہ جا سکے,"['ویسٹ', 'انڈیز', 'کھلاڑیوں', 'نے', 'پاکستانیوں', 'الزام', 'لگایا', 'کہ', 'پاکستانی', 'بھارت', 'جان', 'بوجھ', 'کر', 'ہارے', 'تھے', 'تاکہ', 'ویسٹ', 'انڈیز', 'سیمی', 'فائنل', 'نہ', 'جا', 'سکے']"
